description,url
寄！（崩溃/完蛋了）,https://emoji-src.mcunc.net/8b396351-c008-413e-bb4e-136628d7683e.jpg
举牌“吧”——带点撒娇或期待的语气，像是在说“就这样吧~”或“行不行嘛？”,https://emoji-src.mcunc.net/987c5c0e-e657-4cdf-b6ac-fdc513c262f5.jpg
开心/可爱/萌,https://emoji-src.mcunc.net/f1e11d8e-6b9a-4419-9292-fda42b7023b7.jpg
不爽 / 生气中,https://emoji-src.mcunc.net/0d3edeed-04ba-4269-a5e0-1a89c9214b93.jpg
我以后天天哈气 —— 表达一种“我要持续发脾气/撒娇/闹腾”的情绪，带点搞笑和夸张。,https://emoji-src.mcunc.net/e4319d93-59c3-462b-843a-b647e6ec020d.jpg
生气+委屈+小傲娇（头顶冒火，脸颊鼓鼓，旁边有爱心）,https://emoji-src.mcunc.net/f48ec4f1-453a-46be-8f4f-5e99bdf691e1.jpg
困了 / 犯困 / 想睡觉,https://emoji-src.mcunc.net/63d3c9d6-bced-45b4-9930-4fde5d75fef8.jpg
懒人哈气问候表情包 —— 用一张图覆盖全天候打招呼，配文“本人比较懒，偷图统一哈气”，带点自嘲和可爱。,https://emoji-src.mcunc.net/9131b15e-7b30-4780-9f10-970ef8042414.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/4326abe2-4f15-4fa7-830c-dab81b004eb4.jpg
求放过,https://emoji-src.mcunc.net/3004dc61-6610-4136-9514-811dd2fac002.jpg
在吗？（戴眼镜猫，一脸认真/疑惑）,https://emoji-src.mcunc.net/79c018c2-f8df-45cd-a91d-4413364975ae.jpg
在吗？（猫戴帽持物，一脸懵/等回复）,https://emoji-src.mcunc.net/6af364c7-72a5-4c84-9db4-236d7b723e7c.jpg
？（疑惑/懵）,https://emoji-src.mcunc.net/9ad2ae55-7b39-4242-894a-47482c4ac0ab.jpg
生气！   （猫耳白发角色握拳跺脚，脸红冒火，明显在发脾气）,https://emoji-src.mcunc.net/be2b3634-70a6-498c-8d12-8c7e4c78f988.jpg
 wink（眨眼）+ 萌笑，表示调皮、得意或“你懂的”那种小表情。,https://emoji-src.mcunc.net/8b63deb3-b1e9-4c70-b2d2-f4fa25cb2bfa.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/01d85894-98a0-4389-94de-a1c35ad06803.jpg
开心/兴奋,https://emoji-src.mcunc.net/47fa5aa9-aea1-4739-a245-740ab81c6d8a.jpg
？（疑惑/无语）,https://emoji-src.mcunc.net/cd6b9347-6689-4dc6-81be-fa1396585f14.jpg
生气 / 吼叫,https://emoji-src.mcunc.net/5768db2f-83ba-4a85-955f-eaf02a398d97.jpg
？（一脸懵/无辜）,https://emoji-src.mcunc.net/caf9325c-74f7-4a24-82eb-1b82a135fcbe.jpg
在吗？（配图：猫戴帽+汉堡+华莱士饮料，带点沙雕感）,https://emoji-src.mcunc.net/ea771828-708d-4bcb-8db3-408ab6c367ff.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/eb6128c0-21a6-46d8-829d-e3c61c53e20a.jpg
开心大笑 / 傻乐 / 萌萌哒,https://emoji-src.mcunc.net/350a752f-2713-4d0a-84a6-971ac1195a92.jpg
蹲坐发呆，略带忧郁,https://emoji-src.mcunc.net/efe2d2e7-2205-475a-964d-8a062de1614c.jpg
困了 / 打哈欠 / 犯困,https://emoji-src.mcunc.net/4c1325d3-4a37-41e9-9f76-3155f5fcf45a.jpg
在吗？（带点呆萌+流口水）,https://emoji-src.mcunc.net/062c0280-f92e-4f5e-b5d0-c2838e5ad20f.jpg
惊讶 / 哇！ / ？？？  （蓝发少女睁大橙色眼睛、张嘴，表情充满震惊或意外）,https://emoji-src.mcunc.net/6dc02960-8139-4581-8e40-da8fdfadd679.jpg
自拍，可爱，萌,https://emoji-src.mcunc.net/d93772d1-5fcc-400b-9a53-f4ef48bc8097.jpg
开心吐舌，萌态十足！,https://emoji-src.mcunc.net/8bac18ee-a5b9-45ae-ab6c-c964d7aa05de.jpg
生气 + 无语,https://emoji-src.mcunc.net/7b6dba1e-81a5-4ce9-b817-696ef32cc789.jpg
开心/可爱/萌萌哒,https://emoji-src.mcunc.net/3e0cfca5-3e17-4e89-8d0c-d2fbe52b01c6.jpg
比耶眨眼，可爱卖萌,https://emoji-src.mcunc.net/ecd83624-6971-43ba-afab-e63467303186.jpg
生气，不爽，带点傲娇,https://emoji-src.mcunc.net/f012c33a-5aa1-489e-9143-5f959f07e12e.jpg
生气，气到冒火,https://emoji-src.mcunc.net/32cab7cc-4583-48de-9b72-e185ca63ae49.jpg
吐舌卖萌,https://emoji-src.mcunc.net/7f41c604-da7a-43d6-83fb-253e893657d6.jpg
生气+无语，竖中指表情包,https://emoji-src.mcunc.net/9f0cd558-0ba0-4ccb-a20d-4566d48a3f84.jpg
狡猾,https://emoji-src.mcunc.net/ca5e04e4-4c09-447a-a1c9-1ace32198d30.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/2a2b0ddd-e04e-48fa-996a-618249fc1072.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/c6af19c4-debe-4e08-91fa-0f69cea2a31a.jpg
哭哭，委屈，伤心,https://emoji-src.mcunc.net/d6d889a3-d708-4cab-8866-e1f572818923.jpg
？（一脸懵/困惑）,https://emoji-src.mcunc.net/bca12dae-d838-43dd-9659-f6971d2dad6d.jpg
笑死,https://emoji-src.mcunc.net/7b39a6ea-45c5-4bf0-9055-4b8a9757c83a.jpg
在吗？（萌鼠探头，带点呆萌疑问感）,https://emoji-src.mcunc.net/18c33dd4-4296-4f6c-a047-17e088648e4c.jpg
在吗？（带点疑惑/试探的语气）,https://emoji-src.mcunc.net/1c25941f-aa00-4f7d-95d6-9ead4df9b7b2.jpg
在吗？（带点呆萌/无语的语气）,https://emoji-src.mcunc.net/2fec138c-db3a-4b84-9d7d-b85ab6f64890.jpg
哭唧唧 + 法修散打 = 无奈/崩溃/被逼疯,https://emoji-src.mcunc.net/d6ecc1bf-7c3c-4f2a-990b-4da143f3c902.jpg
在吗？（猫脸凑近，带点疑惑/期待）,https://emoji-src.mcunc.net/9967f386-dc6e-43d8-b79b-4113a826f0c2.jpg
吃炸鸡喝可乐的牛仔猫，悠闲惬意。,https://emoji-src.mcunc.net/ec4dd437-e118-4c97-9a85-8ab77ad44f50.jpg
萌萌歪头，带点呆萌疑问感 —— “？”  （也可用于“在吗？”、“嗯？”等轻疑问语气）,https://emoji-src.mcunc.net/f1cfaf9b-20c1-4ac7-a31d-526fa43d9fa1.jpg
歪头 + 问号 = 疑惑 / 不解 / “啥意思？”,https://emoji-src.mcunc.net/e9840601-6b52-43b1-9399-9588150018f4.jpg
目标失衡！（表示动作失控、扑空或翻车的搞笑场面）,https://emoji-src.mcunc.net/0c250064-9621-4010-82fd-e6380d27738d.jpg
？（惊讶/懵圈）,https://emoji-src.mcunc.net/ccb8b4a6-d3d1-4a22-abae-9237eaa6c2ec.jpg
微笑，带点害羞或温柔的神情。,https://emoji-src.mcunc.net/970dbd0b-dc04-43fa-a525-9c684c6517ad.jpg
？（一脸懵/无辜）,https://emoji-src.mcunc.net/f825391e-8fdf-4498-a804-dd25d50bca19.jpg
防踢冒泡 —— 用“冒泡”表示在线/存在，带点游戏感和幽默，常用于群聊中防止被踢或刷存在感。,https://emoji-src.mcunc.net/f54ba628-e922-42ff-aa85-563e623258ac.jpg
歪头+问号=疑惑/不解,https://emoji-src.mcunc.net/631e9152-329d-40ac-a4e2-91997c6478fd.jpg
生气,https://emoji-src.mcunc.net/5325ef04-846a-4bd5-9e96-0a5430480071.jpg
写作业中（带点不耐烦/烦躁）,https://emoji-src.mcunc.net/68239c18-8888-442a-9966-06663a28afec.jpg
哈气（生气/不满）,https://emoji-src.mcunc.net/3ec19d99-bbc4-4e04-a027-8fbb91046895.jpg
？（惊讶/懵圈）,https://emoji-src.mcunc.net/e5fefbdc-26e5-4ced-bc64-306b0cbd3536.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/2a3a1a7f-3b2d-4cd2-a222-0cae96d048e8.jpg
思考 / 陷入沉思,https://emoji-src.mcunc.net/1cb5f139-3c1c-4cc0-991e-f4c07a0b995d.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/3981228b-9dba-4f9e-84a4-4bc68e7a7614.jpg
甩锅给后端,https://emoji-src.mcunc.net/376d8d1e-a0dd-4c19-b3c9-34ea4419d77a.jpg
装傻（实际是真傻）,https://emoji-src.mcunc.net/24fbd93b-c3af-44a7-893f-2ad532133333.jpg
似懂非懂,https://emoji-src.mcunc.net/a0c7adf9-1511-43a7-ba23-43dcd5939b58.jpg
？（一脸懵/困惑）,https://emoji-src.mcunc.net/b00854c4-fb00-4228-b3f3-fe271a741df4.jpg
微笑，可爱，萌,https://emoji-src.mcunc.net/a018c2cb-eb92-4a66-b673-cd74a96197cd.jpg
可爱歪头，懵懂发问：“？”,https://emoji-src.mcunc.net/21302f76-0a0d-4387-8935-fc28c2587a22.jpg
不愧是我（得意/自恋）,https://emoji-src.mcunc.net/32a90943-dbcc-488d-a684-2f500538b701.jpg
在吗？（模糊卡通形象，张嘴似在喊）,https://emoji-src.mcunc.net/a1eb47d0-cce9-4efd-bde6-660d9d1e0208.jpg
哭哭，委屈，伤心,https://emoji-src.mcunc.net/d6da65ea-bb92-4847-a146-01883aeb406a.jpg
天上天下，唯我独尊 —— 狂傲得意、自我膨胀的嚣张姿态。,https://emoji-src.mcunc.net/3cb7b1b3-e675-4063-a1b6-445ca1f416e8.jpg
生气，战斗模式开启,https://emoji-src.mcunc.net/b4bf4f21-3072-49c4-91a2-74134b07a9f3.jpg
？（一脸懵/困惑）,https://emoji-src.mcunc.net/e8e29fb5-ca37-4bf3-a427-debeadc207de.jpg
选哪个？,https://emoji-src.mcunc.net/07be62bf-ee88-4d78-837c-7f35c7cafdbd.jpg
求你别动我哥,https://emoji-src.mcunc.net/ce74b40c-5084-4d2b-b319-02036e124f47.jpg
萌鲨咬饼干，可爱又搞怪 😊,https://emoji-src.mcunc.net/e26cc39b-b6a2-4b89-86bc-054f5983af55.jpg
可爱歪头，带点懵/疑问感,https://emoji-src.mcunc.net/89164867-230b-48dd-a741-3a1b25fe751b.jpg
生气，带恶魔角和三叉戟，凶狠脸,https://emoji-src.mcunc.net/6c1ce5fc-e7a4-4d04-8fd4-31ded3d5af5b.jpg
开心奔跑,https://emoji-src.mcunc.net/652e69ca-6bfd-47b7-a91b-34e012e3ca13.jpg
生气+委屈，头上冒叉和星号，萌系猫耳少女版“气到炸毛”,https://emoji-src.mcunc.net/87cf0f46-78d1-4e5c-8283-f97ae91be7f8.jpg
？（一脸懵/震惊）,https://emoji-src.mcunc.net/04b6da50-986b-49a7-b536-1f588c16fbbd.jpg
狂喜 / 大笑到变形,https://emoji-src.mcunc.net/db52d1aa-3075-4792-ab78-1e6a4289cd3f.jpg
？这啥玩意儿呢这是,https://emoji-src.mcunc.net/e61f9e37-7610-4742-8c43-976e90bbccb8.jpg
在吗？（猫脸懵懂+呆萌注视）,https://emoji-src.mcunc.net/914df429-99ad-4598-8ff1-b31ec3fa54cf.jpg
？（一脸懵/困惑）,https://emoji-src.mcunc.net/075ef899-6062-41c2-9092-0bf6ea483b8e.jpg
？？？（头上戴护士帽+蝴蝶结，一脸懵）,https://emoji-src.mcunc.net/a10c5737-2e85-4e07-ab98-a92788175170.jpg
？（疑惑/无语）   “何 Evil？” = “什么鬼？” 或 “这算哪门子邪恶？”   表情包主角一脸懵+小黄鸭+问号，表达对“邪恶”说法的不解或吐槽。,https://emoji-src.mcunc.net/b0f91069-3061-49a9-8fef-63fab69fd032.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/f9ca1ce1-7e3d-4eff-9d81-d8e274e67776.jpg
？（一脸懵/震惊）,https://emoji-src.mcunc.net/47f269c3-c8ed-4f62-839f-8a2a409ad2f4.jpg
震惊 / 崩溃 / 无语,https://emoji-src.mcunc.net/41221fca-7e61-4940-8d5c-ea591c745fcd.jpg
汗流浃背了吧，牢弟 —— 用于调侃对方紧张、尴尬或被戳中痛点时的窘迫状态。,https://emoji-src.mcunc.net/ac44489b-5aa6-47d2-8c9e-a199f819588e.jpg
？（懵圈/无辜）,https://emoji-src.mcunc.net/65426b55-ca7b-4145-a961-d583aad8e5fa.jpg
冷漠脸，看报纸，生人勿扰。,https://emoji-src.mcunc.net/0a6f3e4c-53d1-421b-b90a-8eba91fb3a40.jpg
超开心！（举牌欢呼）,https://emoji-src.mcunc.net/586e1b63-2188-4088-aca8-df32261e395c.jpg
在吗？（猫戴帽持物，一脸正经等回复）,https://emoji-src.mcunc.net/9e13e2e7-2ffb-4a3d-a9de-0c5c8ea8e672.jpg
在群里睡觉（表示潜水、不发言、默默围观）,https://emoji-src.mcunc.net/92629465-6653-40e1-b5f2-c05fb62eb02f.jpg
在吗？,https://emoji-src.mcunc.net/8e3e9e23-7707-499b-a462-d728ae83e81e.jpg
自己掰开（带点无奈/调侃的微笑）,https://emoji-src.mcunc.net/3aa171a7-fef1-4b43-b1e5-7eef97575ffe.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/97ec4414-012e-44b2-904c-85ddf0f0d926.jpg
？（疑惑/懵逼）,https://emoji-src.mcunc.net/3a577512-5eb7-4861-9fae-78c496fe11b3.jpg
恍惚（带星星，表示迷糊、发呆或出神状态）,https://emoji-src.mcunc.net/e350a97c-6214-4746-88dd-0015f094daee.jpg
主人～（撒娇/期待）,https://emoji-src.mcunc.net/30cfbe85-b625-4c71-a0aa-f4f79ebd030b.jpg
“苦命鸳鸯”被吐槽，当事人炸毛怒怼：“再跟我说这几个字，你就给我艾草！” —— 生气+威胁+无语,https://emoji-src.mcunc.net/0aa1dded-ef62-4a61-bf83-4a56f08d9d8e.jpg
？（困惑/懵圈）,https://emoji-src.mcunc.net/3a5cce37-3df2-4a19-a5d9-ee211f4b4f78.jpg
？（一脸懵/惊讶）,https://emoji-src.mcunc.net/cb96412a-391c-4a49-932f-f6809e243e3a.jpg
开心大笑 / 哈哈狂笑 / 笑到停不下来,https://emoji-src.mcunc.net/039133f3-aaf6-48ae-aa0e-7eb5ff5b6817.jpg
生气 + 无语   （配文“太脚滑了”=借口/甩锅，表情却很凶，反差搞笑）,https://emoji-src.mcunc.net/441d5ef0-6a0e-4ab4-9a01-21214870d479.jpg
？（疑惑/懵）,https://emoji-src.mcunc.net/e2eb99a8-d041-4683-9863-56a072c9c1e5.jpg
不爽 / 生气 / 委屈,https://emoji-src.mcunc.net/1f793145-fb0b-4325-aef2-04ea9cc875fb.jpg
在吗？（带点撒娇/期待感）,https://emoji-src.mcunc.net/6c4562a0-d8c5-4263-b88b-c91aa509ff0f.jpg
吐舌卖萌,https://emoji-src.mcunc.net/7ad171c2-6711-4ca5-821b-720c2e49c67d.jpg
生气看书,https://emoji-src.mcunc.net/4d34e2ac-0be6-4cb0-9da7-64a89e3b431e.jpg
开心大笑 / 哈哈 / 超级可爱地笑,https://emoji-src.mcunc.net/e68ea0de-0674-4222-928b-5f9db87ea080.jpg
精神科，我来了！（带点自嘲/调侃的萌系表情）,https://emoji-src.mcunc.net/b7f82935-b771-4710-a229-3e0504d31d2f.jpg
躺平任宰，肥宅本宅,https://emoji-src.mcunc.net/27214008-0acb-4489-ace2-1e6f66eb8dfd.jpg
不开心 / 生气 / 委屈,https://emoji-src.mcunc.net/f76321eb-f5ba-404d-a041-be8b1322e961.jpg
已红温（表示气到脸红/情绪爆炸）,https://emoji-src.mcunc.net/a8459841-a5e1-4656-83d5-711a8ce5323b.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/2538ec81-051a-42ab-a7cd-423d582be4e1.jpg
生气，气到冒火,https://emoji-src.mcunc.net/bd65c0e4-6292-476f-8e32-f96136532949.jpg
？（惊讶/懵圈）,https://emoji-src.mcunc.net/60ab65b6-f166-47d1-a6a5-3f7dcfba4004.jpg
在吗？（带点呆萌/疑惑感）,https://emoji-src.mcunc.net/b2c3d135-c070-4250-ba46-d273dcdcaa08.jpg
生气，太贪吃了,https://emoji-src.mcunc.net/83eb2b6c-90bc-440a-a81f-eb38cad044cb.jpg
？（带点无辜/懵圈感）,https://emoji-src.mcunc.net/a3e9f843-1944-4b1a-a416-7be41136745f.jpg
崩溃 / 抓狂 / 大喊,https://emoji-src.mcunc.net/ea00fe80-4fe5-423c-bf8a-06b6ca8d37de.jpg
吃糖，开心,https://emoji-src.mcunc.net/c394e2dc-0028-4c92-ab7e-a706123ea71f.jpg
躺平摆烂,https://emoji-src.mcunc.net/08d21c3a-8fd6-43b0-934c-31bd2915c8f7.jpg
这么强？（惊讶/震惊）,https://emoji-src.mcunc.net/f54a796c-6f1a-4b7c-8d22-b86f107f2bf0.jpg
开心大笑 / 哈哈大笑,https://emoji-src.mcunc.net/584f03bd-6d17-4c3c-9b37-df7793a6254a.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/2d955a8b-7e25-4545-81f1-0eaf5ecee74b.jpg
在吗？（带点俏皮和期待）,https://emoji-src.mcunc.net/9f04b77a-6090-4c27-b975-ca0c007312b9.jpg
严肃,https://emoji-src.mcunc.net/dc0583bf-088e-4778-903c-5afc0569772b.jpg
惊讶+呆萌，眼睛瞪大、嘴角抽搐，头顶感叹号，像突然被吓到或听到惊人消息的反应。,https://emoji-src.mcunc.net/09a3dd8c-5129-4072-8c49-386e8cff56da.jpg
低头委屈，带点小倔强,https://emoji-src.mcunc.net/ffbc32cd-6ce2-4ba1-a0c2-acc9a4c2f0c6.jpg
发呆 / 傻萌 / 无语,https://emoji-src.mcunc.net/3705a251-7e0c-4f88-b2a2-79b0e07f82d5.jpg
震惊 / 我的天,https://emoji-src.mcunc.net/c1f084f1-ae22-4320-b1fb-fe7a571fce65.jpg
你是这么大的猪（调侃/吐槽）,https://emoji-src.mcunc.net/f61bd932-40a3-49ce-98d9-a3b76edaab81.jpg
你怎么这么坏（委屈/生气）,https://emoji-src.mcunc.net/95488a80-c731-4e4f-906e-7e2a774c266e.jpg
震惊 / 崩溃 / ？？？,https://emoji-src.mcunc.net/e2157d03-2b34-4166-93de-e5165f493128.jpg
在吗？（猫戴帽+泡面+冰红茶，经典“在吗”梗）,https://emoji-src.mcunc.net/755796fd-0529-4d50-aad5-2454b6e9a295.jpg
在吗？（黑兔探头，眼神无辜又好奇）,https://emoji-src.mcunc.net/53d5cc2a-a45a-424d-9607-b85318ab2e88.jpg
困了，想睡觉 😴,https://emoji-src.mcunc.net/8e185b71-2be9-402b-bcd9-c7d4a2fb153d.jpg
？（何意味）   —— 用“何意味”谐音“何意味”，表达困惑、不解或“这啥意思？”的语气，常用于对离谱/无语事情的反应。,https://emoji-src.mcunc.net/3475aa62-3dc3-4b0a-8677-fd6b9aefa2c4.jpg
手机没电了？,https://emoji-src.mcunc.net/b09f4a2f-0365-4dfe-9920-20310915e7fb.jpg
？（疑惑/懵圈）,https://emoji-src.mcunc.net/5d8b3273-2a92-43b6-9727-f9de8a83767f.jpg
生气，炸毛，暴走中,https://emoji-src.mcunc.net/5fa1c091-c151-422b-ba7e-3720ffff2fcf.jpg
？（疑惑/懵懂）,https://emoji-src.mcunc.net/6aecf1ed-5177-4876-bc51-4d423267844c.jpg
群主驾到，全体起立！,https://emoji-src.mcunc.net/fbae54ce-9bb7-47b5-acc5-5ff4d1675954.jpg
聚众睡觉,https://emoji-src.mcunc.net/8cd1d546-327a-4a98-86e9-c4fd7564f2ac.jpg
困了，想再睡会,https://emoji-src.mcunc.net/839bd570-b6a2-4d9c-8284-a59b14ce6383.jpg
？（黑猫叼着草，一脸懵）,https://emoji-src.mcunc.net/75909eb5-2e31-4b95-aef9-c0ef4e662650.jpg
在吗？（带水滴特效的可爱询问表情）,https://emoji-src.mcunc.net/6829063d-73bd-4b09-aa4f-d15330856f30.jpg
哭哭，委屈巴巴,https://emoji-src.mcunc.net/7771664d-8e7d-485a-af83-8bc2f3e8f160.jpg
“妈”——震惊+社死+求救式喊妈，常用于游戏或社交中突然破防/翻车时的崩溃反应。,https://emoji-src.mcunc.net/a0eae114-60e0-4c4a-a587-1bb7e1b44c0c.jpg
“妈”——震惊+社死+无语，常用于突然被戳中痛点或被迫面对尴尬现实时的崩溃反应。,https://emoji-src.mcunc.net/a2fa6af7-3a4c-41c2-a180-4b660dfb1738.jpg
“不是吧？”（震惊/难以置信）,https://emoji-src.mcunc.net/e0c3a600-18b9-406f-a0d0-eb28f997d08f.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/b8d0f834-5fd9-488b-a24c-0d6782147ca5.jpg
哭唧唧 / 伤心委屈,https://emoji-src.mcunc.net/5e5e7164-e893-4064-abba-66d07950acf4.jpg
生气+吐槽：手机烫？怪你们这些“烧杯”（指耗电/发热应用）！,https://emoji-src.mcunc.net/73fb00b2-a824-43f3-8983-f3dde2fe1ddb.jpg
开心感动，感叹群友太好,https://emoji-src.mcunc.net/2a39d24a-1889-47c0-95c0-092873992bde.jpg
开心倒计时,https://emoji-src.mcunc.net/407c7000-5c59-4211-863e-46679d746c48.jpg
酷 + 点赞,https://emoji-src.mcunc.net/fdb1d5ed-3e12-4deb-8f1e-ff02dd867659.jpg
脑残（讽刺/吐槽用）,https://emoji-src.mcunc.net/91a71ad9-9b8e-42b8-bc45-f33c96cd895b.jpg
抱着小熊，萌萌的可爱表情。,https://emoji-src.mcunc.net/be0770b2-3802-4ac2-89bf-6ade6a750d9f.jpg
快乐大笑,https://emoji-src.mcunc.net/f3f21b7a-bcd5-492e-a710-a85e19d3a247.jpg
服务器卡爆了！熊猫急得举着面包喊：跟不上的节奏，是服务器过载了吗？（11万ms延迟警告）,https://emoji-src.mcunc.net/fb6ff827-f9c6-419d-aac0-700b3444500f.jpg
TNT要炸了,https://emoji-src.mcunc.net/5f36f4f4-88dd-411c-87a4-44b8c7864478.jpg
加载中,https://emoji-src.mcunc.net/7ca70ae3-01b0-4edc-a07d-9df2501c452b.jpg
在吗,https://emoji-src.mcunc.net/44a3db6f-e7ac-4558-ac44-14c411d9eb13.jpg
跑路了，各自精彩。,https://emoji-src.mcunc.net/f4e69a89-fb8f-4694-86e2-f7b08f03f92f.jpg
？（疑惑/调侃）,https://emoji-src.mcunc.net/e8b5aad3-89ad-4a29-954d-763109d2c36d.jpg
生气，无语，气到想死,https://emoji-src.mcunc.net/33cf5541-6146-46c5-91b0-14342d96fd74.jpg
这个不是表情包，而是一个政治宣传图。  它用数字“5201314”（谐音“我爱你一生一世”）来记忆中国共产党的一系列重要理念：  - 5 = 五个坚持   - 2 = 两个都要（绿水青山+金山银山）   - 0 = 一个零容忍   - 1 = 一个原则（一个中国）   - 3 = 三个代表思想   - 1 = 一个共识（九二共识）   - 4 = 四个尊重  左上角是中国共青团团徽。  ✅ 总结：这不是表达情绪的表情包，而是用爱情数字包装的政治口号记忆图，常用于青年教育或宣传场景。,https://emoji-src.mcunc.net/9190031c-97f5-493e-80c7-906f7cecf500.jpg
委屈巴巴 / 撒娇求抱抱,https://emoji-src.mcunc.net/65b33b9a-52a7-40ee-9bc3-f611a1a4fce1.jpg
开心大笑 / 哈哈大笑 / 超级快乐,https://emoji-src.mcunc.net/8b78164a-e3f2-4499-bfb4-8ac21858074c.jpg
思考中 / 疑惑 / 在想什么,https://emoji-src.mcunc.net/3f2dad9a-cb65-4525-a220-52902e06f6aa.jpg
可爱撒娇/萌萌哒,https://emoji-src.mcunc.net/dcf81709-87f5-459c-9dcd-5e918ce98244.jpg
在吗？（半透明人体图，带血管骨骼，略诡异）,https://emoji-src.mcunc.net/4e3eaa6b-e72a-43c1-97af-93a0edb3fe7e.jpg
在吗？（戴帽猫举炸鸡和可乐，等你一起吃）,https://emoji-src.mcunc.net/dc7d80eb-4475-4749-9c8d-6f2969144e1a.jpg
思索,https://emoji-src.mcunc.net/1347aa2f-a754-4e2e-b694-606e30ed25ae.jpg
开心大笑 / 哈哈狂笑 / 笑到停不下来,https://emoji-src.mcunc.net/954ada03-4edb-405f-96a0-404d7587417f.jpg
坏笑 / 得意 / 皮一下,https://emoji-src.mcunc.net/46640c7d-8874-42d5-a42f-e49bfa8d8b61.jpg
谁动我蛋糕？（带点傲娇+威胁感）,https://emoji-src.mcunc.net/fba75320-36b9-45ca-b70c-80a3c333f4a4.jpg
震惊 / 吓到 / ？？？,https://emoji-src.mcunc.net/a12f75df-3d63-4175-923e-79ddadda01ff.jpg
您一无所获 —— 表示“没得到任何东西”或“白忙一场”，常用于游戏或抽奖后空手而归的无奈调侃。,https://emoji-src.mcunc.net/d95ac883-5a7e-455f-929d-8d33ddb77113.jpg
擦汗，紧张/尴尬,https://emoji-src.mcunc.net/efe917a6-29a2-4309-a26a-4b9660f3da09.jpg
萌系猫耳少女，眨着大眼睛，一脸无辜+呆萌，适合表达“在吗？”“？？？”“你再说一遍？”或单纯卖萌撒娇。,https://emoji-src.mcunc.net/80c63f83-eb8b-42ee-a6f1-7a25e1850b33.jpg
比耶眨眼，可爱卖萌 😊✌️,https://emoji-src.mcunc.net/b3a1c95e-e48f-4e01-a0f3-1a0439bb1f48.jpg
在吗？（小猫盯着手机，一脸期待）,https://emoji-src.mcunc.net/74bd549a-8d90-465d-8822-32c901fdc6c7.jpg
哭哭，委屈求抱抱,https://emoji-src.mcunc.net/6fe1d467-52d1-4b0c-962d-4771a420f751.jpg
困了 / 想睡觉,https://emoji-src.mcunc.net/2c6421fc-6bdc-447e-b0d7-4ee2f8f4fc9d.jpg
？（一脸懵/疑惑）,https://emoji-src.mcunc.net/7d1b90f8-bff9-4215-9b90-a6503ff2ce09.jpg
